from,rel,to
http://www.wikidata.org/entity/Q29530,http://www.wikidata.org/prop/direct/P608,http://www.wikidata.org/entity/Q20980830
http://www.wikidata.org/entity/Q3213774,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q268141
http://www.wikidata.org/entity/Q17613629,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q467
http://www.wikidata.org/entity/Q6145103,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q40953
http://www.wikidata.org/entity/Q16268861,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q712502
http://www.wikidata.org/entity/Q6727098,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q42948
http://www.wikidata.org/entity/Q3089617,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q134307
http://www.wikidata.org/entity/Q9372007,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q527
http://www.wikidata.org/entity/Q2415259,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q3044768
http://www.wikidata.org/entity/Q15934368,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology#Item
http://www.wikidata.org/entity/Q15918393,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology#Item
http://www.wikidata.org/entity/Q47512127,http://www.wikidata.org/prop/direct/P6216,http://www.wikidata.org/entity/Q19652
http://www.wikidata.org/entity/Q15934807,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q12321255
http://www.wikidata.org/entity/Q1923320,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology#Item
http://www.wikidata.org/entity/Q61314861,http://www.wikidata.org/prop/direct/P2048,22
http://www.wikidata.org/entity/Q2478403,http://www.w3.org/2004/02/skos/core#altLabel,Jeune princesse
http://www.wikidata.org/entity/Q56648748,http://www.w3.org/2000/01/rdf-schema#label,La Mélancolie
http://www.wikidata.org/entity/Q334138,http://www.w3.org/2004/02/skos/core#altLabel,The Origin of the World
http://www.wikidata.org/entity/Q16696928,http://www.w3.org/2000/01/rdf-schema#label,Les Foins
http://www.wikidata.org/entity/Q2571560,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q623699
http://www.wikidata.org/entity/Q17494945,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q234915
http://www.wikidata.org/entity/Q185255,http://www.wikidata.org/prop/direct/P4969,http://www.wikidata.org/entity/Q27959711
http://www.wikidata.org/entity/Q29656601,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955
http://www.wikidata.org/entity/Q2513064,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q3374376
http://www.wikidata.org/entity/Q17582581,http://www.w3.org/2000/01/rdf-schema#label,"Virgil reading The Aeneid before Augustus, Livia and Octavia"
http://www.wikidata.org/entity/Q113988382,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213
http://www.wikidata.org/entity/Q14940548,http://schema.org/description,painting by Berthe Morisot
http://www.wikidata.org/entity/Q2755121,http://www.wikidata.org/prop/direct/P571,1450-01-01T00:00:00+00:00
http://www.wikidata.org/entity/Q24118,http://www.wikidata.org/prop/direct/P1343,http://www.wikidata.org/entity/Q66362718
http://www.wikidata.org/entity/Q20886860,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q19018820
http://www.wikidata.org/entity/Q15877622,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q175130
http://www.wikidata.org/entity/Q20083777,http://www.wikidata.org/prop/direct/P2048,109
http://www.wikidata.org/entity/Q2529703,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q199657
http://www.wikidata.org/entity/Q7743869,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q186256
http://www.wikidata.org/entity/Q15934792,http://www.wikidata.org/prop/direct/P6216,http://www.wikidata.org/entity/Q19652
http://www.wikidata.org/entity/Q16735763,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q696809
http://www.wikidata.org/entity/Q9372007,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q12321255
http://www.wikidata.org/entity/Q1516449,http://schema.org/description,tableau de Jan van Eyck
http://www.wikidata.org/entity/Q6106766,http://schema.org/description,1528 painting by Hans Holbein
http://www.wikidata.org/entity/Q633587,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q3248828
http://www.wikidata.org/entity/Q47169543,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q1535963
http://www.wikidata.org/entity/Q15707415,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q134307
http://www.wikidata.org/entity/Q2568551,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q194189
http://www.wikidata.org/entity/Q11826275,http://www.w3.org/2000/01/rdf-schema#label,La Méridienne
http://www.wikidata.org/entity/Q3387944,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q183221
http://www.wikidata.org/entity/Q7053068,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q146
http://www.wikidata.org/entity/Q15709546,http://www.wikidata.org/prop/direct/P373,Rome. - Le Tibre et le Château Saint-Ange (R73) by Jean-Baptiste-Camille Corot
http://www.wikidata.org/entity/Q3204146,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q201022
http://www.wikidata.org/entity/Q429753,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q12321255
http://www.wikidata.org/entity/Q2027662,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q817393
http://www.wikidata.org/entity/Q594470,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q12269950
http://www.wikidata.org/entity/Q1314013,http://www.wikidata.org/prop/direct/P7457,http://commons.wikimedia.org/wiki/File:Louis_david%2C_le_sabine%2C_1799%2C_04%2C1_firma.jpg
http://www.wikidata.org/entity/Q476458,http://www.wikidata.org/prop/direct/P1071,http://www.wikidata.org/entity/Q220
http://www.wikidata.org/entity/Q3232008,http://www.w3.org/2000/01/rdf-schema#label,The Two Foscari
http://www.wikidata.org/entity/Q2984952,http://schema.org/description,painting by Édouard Manet
http://www.wikidata.org/entity/Q2467141,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q2864737
http://www.wikidata.org/entity/Q1212737,http://www.wikidata.org/prop/direct/P1476,Les Femmes d'Alger dans leur appartement
http://www.wikidata.org/entity/Q16011124,http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/Q1994273
http://www.wikidata.org/entity/Q3605540,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q19059868
http://www.wikidata.org/entity/Q3349704,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q184212
http://www.wikidata.org/entity/Q3937621,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q42177
http://www.wikidata.org/entity/Q3937764,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q8441
http://www.wikidata.org/entity/Q24011,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q527
http://www.wikidata.org/entity/Q443779,http://www.wikidata.org/prop/direct/P1196,http://www.wikidata.org/entity/Q3739104
http://www.wikidata.org/entity/Q17493279,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q2981
http://www.wikidata.org/entity/Q15934807,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology#Item
http://www.wikidata.org/entity/Q3821663,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q191163
http://www.wikidata.org/entity/Q3563746,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q527
http://www.wikidata.org/entity/Q15934792,http://www.wikidata.org/prop/direct/P2049,145
http://www.wikidata.org/entity/Q597114,http://www.w3.org/2004/02/skos/core#altLabel,Dormition of the Virgin
http://www.wikidata.org/entity/Q1212861,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q47652
http://www.wikidata.org/entity/Q1215717,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q33923
http://www.wikidata.org/entity/Q2734892,http://www.w3.org/2000/01/rdf-schema#label,Femmes au jardin
http://www.wikidata.org/entity/Q11091772,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213
http://www.wikidata.org/entity/Q1857132,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q17345
http://www.wikidata.org/entity/Q3589109,http://www.wikidata.org/prop/direct/P189,http://www.wikidata.org/entity/Q81773
http://www.wikidata.org/entity/Q4896868,http://www.wikidata.org/prop/direct/P1684,LA BELLE ANGELE
http://www.wikidata.org/entity/Q2633689,http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/Q217102
http://www.wikidata.org/entity/Q152509,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q3241565
http://www.wikidata.org/entity/Q56648720,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213
http://www.wikidata.org/entity/Q2467141,http://schema.org/description,painting by Raphael
http://www.wikidata.org/entity/Q15709546,http://www.w3.org/2000/01/rdf-schema#label,"Le Château Saint-Ange et le Tibre, Rome"
http://www.wikidata.org/entity/Q16735763,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q2002752
http://www.wikidata.org/entity/Q429753,http://www.w3.org/2000/01/rdf-schema#label,Le Derby d'Epsom
http://www.wikidata.org/entity/Q3068259,http://www.wikidata.org/prop/direct/P2048,56.5
http://www.wikidata.org/entity/Q17633041,http://www.w3.org/2000/01/rdf-schema#label,The two cousins
http://www.wikidata.org/entity/Q11091772,http://schema.org/description,painting by Titian
http://www.wikidata.org/entity/Q3454959,http://www.wikidata.org/prop/direct/P1476,Regattas at Argenteuil
http://www.wikidata.org/entity/Q3842572,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q106857709
http://www.wikidata.org/entity/Q18384768,http://www.wikidata.org/prop/direct/P571,1450-01-01T00:00:00+00:00
http://www.wikidata.org/entity/Q11826275,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q467
http://www.wikidata.org/entity/Q19947579,http://www.wikidata.org/prop/direct/P2049,115
http://www.wikidata.org/entity/Q7053068,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q191163
http://www.wikidata.org/entity/Q3612410,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q103934
http://www.wikidata.org/entity/Q19831164,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q274901
http://www.wikidata.org/entity/Q11091772,http://www.wikidata.org/prop/direct/P6216,http://www.wikidata.org/entity/Q19652
http://www.wikidata.org/entity/Q15876329,http://www.wikidata.org/prop/direct/P840,http://www.wikidata.org/entity/Q1168042
http://www.wikidata.org/entity/Q3202169,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q216822
http://www.wikidata.org/entity/Q15707415,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q1776959
http://www.wikidata.org/entity/Q17190956,http://www.wikidata.org/prop/direct/P571,1787-01-01T00:00:00+00:00
http://www.wikidata.org/entity/Q24283,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q148475
http://www.wikidata.org/entity/Q6251620,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q2179394
http://www.wikidata.org/entity/Q15917726,http://www.w3.org/2000/01/rdf-schema#label,La Serveuse de bocks
http://www.wikidata.org/entity/Q7743869,http://www.wikidata.org/prop/direct/P88,http://www.wikidata.org/entity/Q6292807
http://www.wikidata.org/entity/Q18572249,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q192110
http://www.wikidata.org/entity/Q21121925,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q12321255
http://www.wikidata.org/entity/Q24066,http://www.wikidata.org/prop/direct/P1476,La Fête villageoise
http://www.wikidata.org/entity/Q3203447,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q23402
http://www.wikidata.org/entity/Q17491812,http://www.w3.org/2000/01/rdf-schema#label,Young Greeks Attending a Cock Fight
http://www.wikidata.org/entity/Q6251620,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955
http://www.wikidata.org/entity/Q3399458,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q106857709
http://www.wikidata.org/entity/Q3842437,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q942467
http://www.wikidata.org/entity/Q3937621,http://www.w3.org/2004/02/skos/core#altLabel,Marie-Antoinette et ses enfants
http://www.wikidata.org/entity/Q19359137,http://www.wikidata.org/prop/direct/P136,http://www.wikidata.org/entity/Q18783399
http://www.wikidata.org/entity/Q2698149,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q467
http://www.wikidata.org/entity/Q1213917,http://www.w3.org/2004/02/skos/core#altLabel,L'Eglise d'Auvers-sur-Oise
http://www.wikidata.org/entity/Q3947319,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q45722
http://www.wikidata.org/entity/Q15934397,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q468756
http://www.wikidata.org/entity/Q3705716,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology#Item
http://www.wikidata.org/entity/Q16928483,http://www.w3.org/2004/02/skos/core#altLabel,Portrait de la marquise de La Solana
http://www.wikidata.org/entity/Q3842437,http://www.wikidata.org/prop/direct/P140,http://www.wikidata.org/entity/Q5043
http://www.wikidata.org/entity/Q17627487,http://www.wikidata.org/prop/direct/P2048,98
http://www.wikidata.org/entity/Q3349704,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955
http://www.wikidata.org/entity/Q24283,http://www.w3.org/2000/01/rdf-schema#label,The Bridge at Narni
http://www.wikidata.org/entity/Q3932055,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q1798603
http://www.wikidata.org/entity/Q2354251,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q1092993
http://www.wikidata.org/entity/Q3605540,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q3044768
http://www.wikidata.org/entity/Q17305020,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q236232
http://www.wikidata.org/entity/Q15992468,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q23380
http://www.wikidata.org/entity/Q97729099,http://www.wikidata.org/prop/direct/P571,1670-01-01T00:00:00+00:00
http://www.wikidata.org/entity/Q5220825,http://www.w3.org/2004/02/skos/core#altLabel,The Washerwoman
http://www.wikidata.org/entity/Q19008328,http://www.wikidata.org/prop/direct/P1476,Jeune fille en buste
http://www.wikidata.org/entity/Q2513064,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q2044369
http://www.wikidata.org/entity/Q3204146,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q19019191
http://www.wikidata.org/entity/Q3139726,http://www.w3.org/2000/01/rdf-schema#label,Homage to Cézanne
http://www.wikidata.org/entity/Q3210253,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q8265768
http://www.wikidata.org/entity/Q3206493,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q428765
http://www.wikidata.org/entity/Q3751961,http://www.wikidata.org/prop/direct/P170,http://www.wikidata.org/entity/Q34618
http://www.wikidata.org/entity/Q3202169,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q312114
http://www.wikidata.org/entity/Q5419125,http://www.wikidata.org/prop/direct/P2048,165
http://www.wikidata.org/entity/Q17493279,http://www.w3.org/2000/01/rdf-schema#label,Le Quai Saint-Michel et Notre-Dame
http://www.wikidata.org/entity/Q29656601,http://www.w3.org/2000/01/rdf-schema#label,Mountainous Landscape with a Bridge and Four Horsemen
http://www.wikidata.org/entity/Q9158957,http://www.w3.org/2000/01/rdf-schema#label,L'Archange Raphaël quittant la famille de Tobie
http://www.wikidata.org/entity/Q3399440,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q7742
http://www.wikidata.org/entity/Q17494945,http://www.wikidata.org/prop/direct/P6216,http://www.wikidata.org/entity/Q19652
http://www.wikidata.org/entity/Q14940548,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q152357
http://www.wikidata.org/entity/Q20724303,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q48634
http://www.wikidata.org/entity/Q47367022,http://schema.org/description,painting by Federico Barocci
http://www.wikidata.org/entity/Q38516820,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955
http://www.wikidata.org/entity/Q17613629,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213
http://www.wikidata.org/entity/Q17280649,http://www.wikidata.org/prop/direct/P373,"François Ier, Charles Quint et la duchesse d'Étampes by Richard Parkes Bonington"
http://www.wikidata.org/entity/Q1213917,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q5004679
http://www.wikidata.org/entity/Q8187529,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q12321255
http://www.wikidata.org/entity/Q1516449,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q942467
http://www.wikidata.org/entity/Q1212861,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q483760
http://www.wikidata.org/entity/Q5971073,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q19019131
http://www.wikidata.org/entity/Q3206709,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955
http://www.wikidata.org/entity/Q18688237,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q287
http://www.wikidata.org/entity/Q531329,http://www.wikidata.org/prop/direct/P1476,Pèlerinage à l'île de Cythère
http://www.wikidata.org/entity/Q3222518,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q851782
http://www.wikidata.org/entity/Q3206709,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q843533
http://www.wikidata.org/entity/Q1362177,http://www.wikidata.org/prop/direct/P195,http://www.wikidata.org/entity/Q193563
http://www.wikidata.org/entity/Q20886860,http://www.w3.org/2004/02/skos/core#altLabel,Des navires dans la tempête au large des côtes
http://www.wikidata.org/entity/Q2890107,http://www.wikidata.org/prop/direct/P2043,53
http://www.wikidata.org/entity/Q3731232,http://www.wikidata.org/prop/direct/P2048,278
http://www.wikidata.org/entity/Q3212142,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q80228
http://www.wikidata.org/entity/Q3208312,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q4991371
http://www.wikidata.org/entity/Q1131476,http://www.w3.org/2004/02/skos/core#altLabel,Déposition du Christ
http://www.wikidata.org/entity/Q1314013,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q3305213
http://www.wikidata.org/entity/Q38403891,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955
http://www.wikidata.org/entity/Q2843410,http://www.wikidata.org/prop/direct/P276,http://www.wikidata.org/entity/Q19018244
http://www.wikidata.org/entity/Q56648720,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q12321255
http://www.wikidata.org/entity/Q17627398,http://www.w3.org/2000/01/rdf-schema#label,Portrait of Catharina Both van der Eem
http://www.wikidata.org/entity/Q3563746,http://schema.org/description,tableau d'Alfred Sisley
http://www.wikidata.org/entity/Q185255,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q144
http://www.wikidata.org/entity/Q6251620,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q142
http://www.wikidata.org/entity/Q1713754,http://www.wikidata.org/prop/direct/P2048,73.5
http://www.wikidata.org/entity/Q16303802,http://www.wikidata.org/prop/direct/P186,http://www.wikidata.org/entity/Q296955
http://www.wikidata.org/entity/Q1713754,http://www.wikidata.org/prop/direct/P144,http://www.wikidata.org/entity/Q34726
http://www.wikidata.org/entity/Q185255,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q639669
http://www.wikidata.org/entity/Q3563746,http://www.wikidata.org/prop/direct/P180,http://www.wikidata.org/entity/Q2703478
http://www.wikidata.org/entity/Q3947312,http://www.wikidata.org/prop/direct/P140,http://www.wikidata.org/entity/Q5043
